date,conversion_rate_monthly_sum
2025-01-31,612.66
2025-02-28,555.22
2025-03-31,648.43
2025-04-30,601.69
2025-05-31,590.91
2025-06-30,611.69
2025-07-31,669.94
2025-08-31,569.51
2025-09-30,566.75
2025-10-31,542.03
2025-11-30,555.94
2025-12-31,598.4
2026-01-31,602.5407850199225
2026-02-28,530.6472049339601
2026-03-31,586.9680881596942
2026-04-30,592.7653593417351
2026-05-31,558.1177883008825
2026-06-30,559.2756889773797
2026-07-31,595.8744444882255
2026-08-31,606.9705804457465
2026-09-30,584.829152059775
2026-10-31,576.6137714335752
2026-11-30,620.8943461765737
2026-12-31,623.7702875568195
2027-01-31,572.1046463577544
2027-02-28,514.452815866392
2027-03-31,647.6664143779699
2027-04-30,601.2189920748876
2027-05-31,641.3030822910309
2027-06-30,552.076496274005
2027-07-31,591.9140169296622
2027-08-31,542.1706299222323
2027-09-30,575.4076547745773
2027-10-31,545.0681125885447
2027-11-30,578.2856075061367
2027-12-31,580.5202890985811
2028-01-31,633.9934413313532
2028-02-29,595.762928758279
2028-03-31,612.3001376418624
2028-04-30,565.9809597578839
2028-05-31,620.2120950878242
2028-06-30,543.921264743242
2028-07-31,609.2885055192037
2028-08-31,551.190574284874
2028-09-30,611.4744335434092
2028-10-31,635.3976333805689
2028-11-30,572.7780023131044
2028-12-31,603.2539139002113
