,count,mean,std,min,25%,50%,75%,max,skew
Operations_unexpected_risk_cost,1460.0,1124.277764054657,2356.922570972183,-8480.06,0.0,291.17171959928385,2432.8325422476596,10094.853856637748,0.4435251676375964
Operations_delivery_time,1460.0,45.0672805783569,5.05395125104018,28.330895155413383,41.88440466337901,45.274359031385686,48.36221591993399,61.48956806799323,-0.08675790629023034
Operations_delivery_cost,1460.0,7967.570855131756,1019.6142295404372,4481.738605466964,7276.304170231704,7955.970155988254,8680.564544926494,11092.5346299637,-0.013772690185959325
Customer Support_support_cost,1460.0,56934.08229739649,28390.80224902659,-37282.2,38089.91704998808,56364.09172338006,75805.16865348793,142466.67226791635,0.07384449096958037
Customer Support_csat_score,1460.0,4.589022293317258,0.2773872080683329,3.701539922706264,4.398503213385413,4.59,4.77889439626758,5.604562901747432,0.033006988943272926
Customer Support_first_contact_resolution_rate,1460.0,74.9148873252191,4.903520576340511,59.269776819896634,71.63551479725302,74.94616701124731,78.43026887934175,88.48573791695952,-0.09800053025834464
Sales_aha_revenue,1460.0,15322.668539641278,5391.868110288404,0.0,11811.79383603897,15250.353697640749,18930.481583352113,31875.049566764028,0.012052552775283021
Sales_repeat_customer_rate,1460.0,19.93948712930002,4.786846347403413,5.590079030426502,16.483219776161818,20.01749141941226,23.142536141704106,35.95276789190716,0.03430374394800451
Tech_total_revenue,1460.0,3034523.8583501605,1110894.6787477727,-480331.67,2244055.6438031965,3054962.1194612766,3805927.5295033334,6594888.65,-0.08826864868479327
Tech_uptime_rate,1460.0,99.00234706809029,0.503279483297574,97.52128513140316,98.67404228231358,98.99609744458621,99.33208950687107,100.78934574277196,-0.005425651902312956
Product_revenue_from_release,1460.0,6917689.392191498,2771939.250418446,-1209618.21,5067888.744948167,6886859.5730650015,8794497.374309773,15903854.266389012,0.02156753771494981
Product_feature_adoption_rate,1460.0,38.76305062685664,11.804739808812153,0.0,31.165112696091338,38.34638626771469,46.78489040087309,85.27,-0.026800869933431257
Marketing_revenue_attributed,1460.0,5307275.90162255,2227737.2208066205,-1652434.62,3792844.337370023,5283172.287882293,6799471.654075787,12206459.4985135,0.016388591027415238
Marketing_conversion_rate,1460.0,19.35628777069718,5.6620534842340255,0.0,15.361378304644187,19.378197583531087,23.090470487340433,38.47,0.05594126331281458
Finance_net_profit,1460.0,851945.2395366697,379457.61909006664,-369564.55,599030.1675,838977.7980822041,1108294.3173633323,2103354.9572589705,0.0749736354620532
Finance_opex_ratio,1460.0,0.7491674178051118,0.051316692152353655,0.5757945840082024,0.7137611625772291,0.7494413282375081,0.7832913086215245,0.90190460258479,-0.03989822296412805
