date,first_contact_resolution_rate_monthly_sum
2025-01-31,2288.544764812776
2025-02-28,2089.849477038977
2025-03-31,2316.630165720279
2025-04-30,2225.5956684835946
2025-05-31,2280.2497099560746
2025-06-30,2185.059986746978
2025-07-31,2332.605379424419
2025-08-31,2327.899497805093
2025-09-30,2288.1329435068083
2025-10-31,2366.536882475513
2025-11-30,2276.6143107509947
2025-12-31,2336.74232808071
2026-01-31,2271.0701376789934
2026-02-28,2125.4286940732236
2026-03-31,2332.5905408614262
2026-04-30,2229.1565709733445
2026-05-31,2306.2962836229326
2026-06-30,2256.377061660959
2026-07-31,2340.3057694877975
2026-08-31,2286.4564651287433
2026-09-30,2305.737156739592
2026-10-31,2318.806830921162
2026-11-30,2242.42365551299
2026-12-31,2347.9699852250656
2027-01-31,2333.300606779432
2027-02-28,2123.516987054124
2027-03-31,2331.030135969658
2027-04-30,2257.7060209681117
2027-05-31,2316.9402451783626
2027-06-30,2235.7935063022164
2027-07-31,2349.6922243446866
2027-08-31,2312.1213150106773
2027-09-30,2276.2021077586905
2027-10-31,2286.708442335409
2027-11-30,2239.3253697582595
2027-12-31,2350.6355112480287
2028-01-31,2326.469979315522
2028-02-29,2216.3078830186587
2028-03-31,2324.770541630654
2028-04-30,2201.1131618618842
2028-05-31,2318.0103322718896
2028-06-30,2266.2615788065905
2028-07-31,2283.851292286885
2028-08-31,2271.845936735222
2028-09-30,2246.6225322670366
2028-10-31,2323.6514572152455
2028-11-30,2249.5526661596027
2028-12-31,2257.225393854593
