date,unexpected_risk_cost,unexpected_risk_cost_lag_1,unexpected_risk_cost_lag_2,unexpected_risk_cost_ma,unexpected_risk_cost_trend,delivery_time,delivery_time_lag_1,delivery_time_lag_2,delivery_time_ma,delivery_time_trend,delivery_cost,delivery_cost_lag_1,delivery_cost_lag_2,delivery_cost_ma,delivery_cost_trend,department
2025-03-31,4504.099999999999,8895.01,23984.25,12461.12,-15089.24,1433.6157725202913,1292.173646767538,1425.484268281417,1383.7578958564154,-133.3106215138789,246042.7456469522,217386.63197043652,244935.88049935253,236121.7527055804,-27549.24852891601,Operations
2025-04-30,12119.35,4504.099999999999,8895.01,8506.153333333334,-4390.910000000001,1362.31619296913,1433.6157725202913,1292.173646767538,1362.7018707523198,141.44212575275333,243811.0593871256,246042.7456469522,217386.63197043652,235746.8123348381,28656.11367651567,Operations
2025-05-31,2448.090000000003,12119.35,4504.099999999999,6357.18,7615.250000000001,1377.6785963845603,1362.31619296913,1433.6157725202913,1391.2035206246608,-71.29957955116129,254968.8347103993,243811.0593871256,246042.7456469522,248274.21324815904,-2231.686259826587,Operations
2025-06-30,-17645.43,2448.090000000003,12119.35,-1025.996666666666,-9671.259999999998,1367.5827177742854,1377.6785963845603,1362.31619296913,1369.192502375992,15.362403415430208,235679.17140563103,254968.8347103993,243811.0593871256,244819.68850105198,11157.775323273701,Operations
2025-07-31,18054.73,-17645.43,2448.090000000003,952.4633333333344,-20093.520000000004,1401.3920892251722,1367.5827177742854,1377.6785963845603,1382.217801128006,-10.095878610274895,245660.07193090182,235679.17140563103,254968.8347103993,245436.02601564405,-19289.66330476827,Operations
2025-08-31,40961.1,18054.73,-17645.43,13790.133333333333,35700.16,1359.1711349618845,1401.3920892251722,1367.5827177742854,1376.0486473204473,33.80937145088683,242467.71605055497,245660.07193090182,235679.17140563103,241268.9864623626,9980.900525270787,Operations
2025-09-30,-1247.3300000000004,40961.1,18054.73,19256.166666666668,22906.37,1309.7001643531241,1359.1711349618845,1401.3920892251722,1356.754462846727,-42.220954263287695,245562.64987632123,242467.71605055497,245660.07193090182,244563.479285926,-3192.3558803468477,Operations
2025-10-31,10949.260000000002,-1247.3300000000004,40961.1,16887.67666666667,-42208.43,1389.9891425770252,1309.7001643531241,1359.1711349618845,1352.9534806306779,-49.470970608760354,246392.14869077582,245562.64987632123,242467.71605055497,244807.5048725507,3094.9338257662603,Operations
2025-11-30,13954.99,10949.260000000002,-1247.3300000000004,7885.64,12196.590000000002,1369.6358760494652,1389.9891425770252,1309.7001643531241,1356.4417276598715,80.28897822390104,235154.09082125456,246392.14869077582,245562.64987632123,242369.6297961172,829.4988144545932,Operations
2025-12-31,3703.5300000000007,13954.99,10949.260000000002,9535.926666666668,3005.7299999999977,1438.4501108693205,1369.6358760494652,1389.9891425770252,1399.3583764986035,-20.35326652755998,253265.14895711085,235154.09082125456,246392.14869077582,244937.12948971373,-11238.05786952126,Operations
2026-01-31,37409.17916387615,3703.5300000000007,13954.99,18355.89972129205,-10251.46,1365.9028260470943,1438.4501108693205,1369.6358760494652,1391.32960432196,68.8142348198553,243890.6940829956,253265.14895711085,235154.09082125456,244103.31128712033,18111.058135856292,Operations
2026-02-28,19781.067408380517,37409.17916387615,3703.5300000000007,20297.925524085556,33705.64916387615,1288.2151043847723,1365.9028260470943,1438.4501108693205,1364.1893471003957,-72.54728482222617,223144.83318535378,243890.6940829956,253265.14895711085,240100.22540848676,-9374.454874115268,Operations
2026-03-31,37643.440103619294,19781.067408380517,37409.17916387615,31611.228891958654,-17628.111755495633,1404.189210719171,1288.2151043847723,1365.9028260470943,1352.7690470503458,-77.68772166232202,250672.05605383942,223144.83318535378,243890.6940829956,239235.86110739628,-20745.860897641804,Operations
2026-04-30,46783.717204966524,37643.440103619294,19781.067408380517,34736.07490565544,17862.372695238777,1350.7115758624323,1404.189210719171,1288.2151043847723,1347.7052969887918,115.97410633439858,242479.85194283776,250672.05605383942,223144.83318535378,238765.5803940103,27527.222868485638,Operations
2026-05-31,37051.63602962155,46783.717204966524,37643.440103619294,40492.93111273579,9140.27710134723,1364.9977815734444,1350.7115758624323,1404.189210719171,1373.2995227183492,-53.47763485673863,240161.20838917582,242479.85194283776,250672.05605383942,244437.70546195097,-8192.204111001658,Operations
2026-06-30,27382.812953003944,37051.63602962155,46783.717204966524,37072.72206253067,-9732.081175344974,1453.7531453090803,1364.9977815734444,1350.7115758624323,1389.8208342483192,14.286205711012144,245179.60077742793,240161.20838917582,242479.85194283776,242606.8870364805,-2318.643553661939,Operations
2026-07-31,35233.84274455991,27382.812953003944,37051.63602962155,33222.763909061796,-9668.823076617606,1363.8739398481164,1453.7531453090803,1364.9977815734444,1394.2082889102137,88.75536373563591,241543.9557821332,245179.60077742793,240161.20838917582,242294.921649579,5018.392388252105,Operations
2026-08-31,29544.780948796782,35233.84274455991,27382.812953003944,30720.478882120213,7851.029791555964,1378.441452972992,1363.8739398481164,1453.7531453090803,1398.6895127100627,-89.87920546096393,244558.41068307759,241543.9557821332,245179.60077742793,243760.65574754623,-3635.644995294715,Operations
2026-09-30,41164.944685615315,29544.780948796782,35233.84274455991,35314.52279299067,-5689.061795763126,1352.3346653483704,1378.441452972992,1363.8739398481164,1364.8833527231595,14.567513124875632,233324.80403255782,244558.41068307759,241543.9557821332,239809.05683258956,3014.4549009443726,Operations
2026-10-31,53556.68596365406,41164.944685615315,29544.780948796782,41422.137199355384,11620.163736818533,1441.415450590964,1352.3346653483704,1378.441452972992,1390.7305229707754,-26.106787624621575,241510.45803612506,233324.80403255782,244558.41068307759,239797.89091725348,-11233.606650519767,Operations
2026-11-30,52503.93308252702,53556.68596365406,41164.944685615315,49075.1879105988,12391.741278038746,1354.8394930468635,1441.415450590964,1352.3346653483704,1382.8632029953994,89.08078524259349,238137.05381269733,241510.45803612506,233324.80403255782,237657.43862712674,8185.654003567237,Operations
2026-12-31,46766.729968173306,52503.93308252702,53556.68596365406,50942.44967145147,-1052.7528811270386,1372.2587247706097,1354.8394930468635,1441.415450590964,1389.5045561361458,-86.57595754410045,246227.48383326887,238137.05381269733,241510.45803612506,241958.33189403042,-3373.4042234277294,Operations
2027-01-31,31312.152583191993,46766.729968173306,52503.93308252702,43527.605211297436,-5737.203114353717,1408.8054871343272,1372.2587247706097,1354.8394930468635,1378.634568317267,17.41923172374618,252946.00873977822,246227.48383326887,238137.05381269733,245770.18212858145,8090.430020571541,Operations
2027-02-28,43609.38074954156,31312.152583191993,46766.729968173306,40562.75443363562,-15454.577384981312,1292.2716094699645,1408.8054871343272,1372.2587247706097,1357.778607124967,36.54676236371756,206782.38683763356,252946.00873977822,246227.48383326887,235318.62647022688,6718.524906509352,Operations
2027-03-31,44223.898968920395,43609.38074954156,31312.152583191993,39715.14410055132,12297.228166349567,1379.9463423950392,1292.2716094699645,1408.8054871343272,1360.3411463331104,-116.53387766436276,248647.37311597136,206782.38683763356,252946.00873977822,236125.25623112769,-46163.62190214466,Operations
2027-04-30,48385.37854099534,44223.898968920395,43609.38074954156,45406.2194198191,614.518219378835,1338.2581484707634,1379.9463423950392,1292.2716094699645,1336.8253667785891,87.67473292507475,238994.41859260103,248647.37311597136,206782.38683763356,231474.72618206867,41864.986278337805,Operations
2027-05-31,32590.964832440837,48385.37854099534,44223.898968920395,41733.41411411886,4161.479572074946,1432.690531746723,1338.2581484707634,1379.9463423950392,1383.6316742041752,-41.688193924275765,253934.96601775344,238994.41859260103,248647.37311597136,247192.25257544196,-9652.95452337034,Operations
2027-06-30,42189.73371441059,32590.964832440837,48385.37854099534,41055.359029282256,-15794.413708554504,1378.487866059638,1432.690531746723,1338.2581484707634,1383.1455154257083,94.43238327595964,237514.17547538487,253934.96601775344,238994.41859260103,243481.18669524646,14940.547425152414,Operations
2027-07-31,55045.83006754311,42189.73371441059,32590.964832440837,43275.50953813151,9598.768881969754,1405.166808308687,1378.487866059638,1432.690531746723,1405.4484020383495,-54.20266568708507,249301.91591813095,237514.17547538487,253934.96601775344,246917.01913708975,-16420.790542368573,Operations
2027-08-31,40003.80520232979,55045.83006754311,42189.73371441059,45746.45632809449,12856.096353132518,1349.0010789664047,1405.166808308687,1378.487866059638,1377.5519177782433,26.678942249048987,241569.79101085398,249301.91591813095,237514.17547538487,242795.29413478993,11787.740442746086,Operations
2027-09-30,39108.05093935617,40003.80520232979,55045.83006754311,44719.22873640969,-15042.024865213316,1350.4844678444347,1349.0010789664047,1405.166808308687,1368.2174517065089,-56.16572934228225,250914.17493696994,241569.79101085398,249301.91591813095,247261.960621985,-7732.1249072769715,Operations
2027-10-31,44655.71274628701,39108.05093935617,40003.80520232979,41255.85629599099,-895.7542629736199,1368.7997268103961,1350.4844678444347,1349.0010789664047,1356.0950912070787,1.4833888780299276,240750.18924892697,250914.17493696994,241569.79101085398,244411.38506558363,9344.38392611596,Operations
2027-11-30,46414.203058553576,44655.71274628701,39108.05093935617,43392.65558139892,5547.661806930839,1331.7774713239828,1368.7997268103961,1350.4844678444347,1350.3538886596045,18.315258965961448,242213.59985903834,240750.18924892697,250914.17493696994,244625.98801497844,-10163.985688042972,Operations
2027-12-31,48529.03498301036,46414.203058553576,44655.71274628701,46532.98359595032,1758.4903122665637,1382.3774300415566,1331.7774713239828,1368.7997268103961,1360.984876058645,-37.022255486413314,255250.08389388825,242213.59985903834,240750.18924892697,246071.29100061787,1463.410610111372,Operations
2028-01-31,42808.93874580305,48529.03498301036,46414.203058553576,45917.39226245566,2114.831924456783,1394.3745258980896,1382.3774300415566,1331.7774713239828,1369.5098090878764,50.59995871757383,241106.38828602948,255250.08389388825,242213.59985903834,246190.02401298538,13036.484034849913,Operations
2028-02-29,49034.46471059034,42808.93874580305,48529.03498301036,46790.81281313458,-5720.096237207312,1279.6196046189655,1394.3745258980896,1382.3774300415566,1352.1238535195373,11.997095856532951,231074.88820397403,241106.38828602948,255250.08389388825,242477.12012796392,-14143.695607858768,Operations
2028-03-31,59155.760226333325,49034.46471059034,42808.93874580305,50333.05456090891,6225.525964787295,1447.5709453112656,1279.6196046189655,1394.3745258980896,1373.855025276107,-114.75492127912412,235084.50000407797,231074.88820397403,241106.38828602948,235755.2588313605,-10031.500082055456,Operations
2028-04-30,43280.707761210375,59155.760226333325,49034.46471059034,50490.31089937801,10121.295515742982,1333.723904154259,1447.5709453112656,1279.6196046189655,1353.6381513614967,167.95134069230016,241749.89039932468,235084.50000407797,231074.88820397403,235969.7595357922,4009.611800103943,Operations
2028-05-31,41648.27975352358,43280.707761210375,59155.760226333325,48028.24924702243,-15875.05246512295,1373.66024790958,1333.723904154259,1447.5709453112656,1384.9850324583683,-113.84704115700674,255632.95798656708,241749.89039932468,235084.50000407797,244155.7827966566,6665.390395246708,Operations
2028-06-30,30485.08218642637,41648.27975352358,43280.707761210375,38471.356567053444,-1632.4280076867944,1364.0844497373012,1373.66024790958,1333.723904154259,1357.1562006003799,39.936343755321104,242635.1550926519,255632.95798656708,241749.89039932468,246672.6678261812,13883.067587242404,Operations
2028-07-31,59301.30122967709,30485.08218642637,41648.27975352358,43811.55438987568,-11163.19756709721,1402.3247392502813,1364.0844497373012,1373.66024790958,1380.0231456323872,-9.575798172278837,248104.91349068223,242635.1550926519,255632.95798656708,248791.00885663377,-12997.802893915185,Operations
2028-08-31,50153.74713583244,59301.30122967709,30485.08218642637,46646.710183978634,28816.21904325072,1378.7700585819216,1402.3247392502813,1364.0844497373012,1381.7264158565013,38.2402895129801,256025.72767075393,248104.91349068223,242635.1550926519,248921.93208469602,5469.758398030332,Operations
2028-09-30,26170.368731854636,50153.74713583244,59301.30122967709,45208.47236578806,-9147.55409384465,1363.3564614024303,1378.7700585819216,1402.3247392502813,1381.4837530782108,-23.55468066835965,244723.6025076097,256025.72767075393,248104.91349068223,249618.0812230153,7920.8141800716985,Operations
2028-10-31,67763.83959843223,26170.368731854636,50153.74713583244,48029.31848870643,-23983.378403977804,1361.2154771093774,1363.3564614024303,1378.7700585819216,1367.7806656979099,-15.413597179491262,242356.74240200839,244723.6025076097,256025.72767075393,247702.02419345733,-11302.125163144228,Operations
2028-11-30,23381.701399640115,67763.83959843223,26170.368731854636,39105.30324330899,41593.47086657759,1344.4894787382798,1361.2154771093774,1363.3564614024303,1356.353805750029,-2.140984293052952,239522.0316338748,242356.74240200839,244723.6025076097,242200.7921811643,-2366.860105601314,Operations
2028-12-31,46688.77739710052,23381.701399640115,67763.83959843223,45944.77279839095,-44382.13819879211,1318.8496999102808,1344.4894787382798,1361.2154771093774,1341.5182185859794,-16.725998371097603,233661.00660957137,239522.0316338748,242356.74240200839,238513.2602151515,-2834.7107681335765,Operations
