date,customer_id,gsv,aha_revenue,order_cost,ltv,cac,is_repeat_customer,customer_segment,churned,repeat_customer_rate
2025-01-01,CUST00112,102611.76,24691.42,5174.72,578.53,122.5,0.66,Platinum,0.03,21.89861958400222
2025-01-02,CUST01435,75738.67,17752.55,9686.47,542.89,102.66,-0.11,Diamond,0.05,12.490584522853183
2025-01-03,CUST00107,93247.56,16436.06,8755.0,731.59,122.96,0.29,Platinum,0.2,13.546414405165262
2025-01-04,CUST01622,70112.97,18548.6,8173.32,418.23,99.51,-0.03,Regular,-0.39,20.351232159890934
2025-01-05,CUST02978,48453.21,26235.62,6352.6,549.95,104.96,0.92,Diamond,-0.08,11.845526569671783
2025-01-06,CUST01723,94237.6,25157.76,12223.91,566.65,126.36,0.02,Platinum,0.08,21.591124172057366
2025-01-07,CUST02207,53505.58,6830.3,3955.27,439.16,121.01,0.34,Platinum,0.26,22.08010390389371
2025-01-08,CUST01380,74504.31,8720.74,3785.42,449.39,113.58,0.73,Platinum,-0.06,19.714926627283642
2025-01-09,CUST01139,70016.7,6656.69,10341.01,436.68,89.69,0.14,Diamond,-0.32,15.451912040298406
2025-01-10,CUST00891,88743.11,11094.65,10086.45,509.79,94.73,0.79,Diamond,0.15,21.432184702774695
2025-01-11,CUST02016,73587.42,15203.34,8515.93,563.01,120.67,1.24,Regular,-0.08,12.38196226104364
2025-01-12,CUST01485,82225.64,16161.81,6525.48,513.95,129.86,0.54,Diamond,-0.19,28.518770780024326
2025-01-13,CUST00900,53321.54,7081.54,8977.03,581.86,92.7,0.9,Diamond,-0.08,19.671868486661456
2025-01-14,CUST02055,125155.12,5355.78,12756.23,271.56,98.14,-0.58,Platinum,0.0,20.956563129687108
2025-01-15,CUST02850,60592.34,11004.06,15221.24,474.39,117.8,0.24,Diamond,-0.08,26.536855955448004
2025-01-16,CUST02009,109037.67,19615.43,2280.85,381.12,117.37,0.54,Platinum,-0.38,14.362333980355402
2025-01-17,CUST01513,87824.98,20507.79,6119.25,534.63,82.32,-0.07,Platinum,0.21,27.59172667922878
2025-01-18,CUST02153,87644.91,23660.73,5924.3,532.91,118.35,0.55,Diamond,0.28,15.630180133877
2025-01-19,CUST01594,91952.06,14756.37,12463.7,486.28,103.02,0.98,Regular,0.16,22.24205041796044
2025-01-20,CUST00010,46871.16,19164.52,-277.72,558.79,148.2,-0.49,Regular,-0.18,27.04286659281162
2025-01-21,CUST01029,104297.29,20095.56,9012.43,615.27,120.12,-0.14,Diamond,-0.0,21.160959146468795
2025-01-22,CUST00476,74495.21,12376.64,6622.08,492.66,123.59,0.54,Regular,0.04,22.26737490958648
2025-01-23,CUST00515,109219.59,16908.88,12499.66,377.84,124.12,0.68,Platinum,0.15,14.461798769705004
2025-01-24,CUST02324,81751.55,18296.46,12074.49,316.5,90.6,0.82,Platinum,0.16,18.738271171303865
2025-01-25,CUST00690,77247.25,10264.49,8552.35,503.86,154.31,0.5,Diamond,-0.1,18.47036334974438
2025-01-26,CUST02885,58754.91,23334.25,2518.73,527.69,82.34,0.68,Regular,0.05,16.65072797386856
2025-01-27,CUST01191,69359.91,14723.16,5638.58,387.36,131.14,0.9,Regular,0.12,20.77207518078669
2025-01-28,CUST01304,93321.68,15367.86,5978.21,583.75,127.57,0.24,Platinum,0.31,22.338199380005165
2025-01-29,CUST02229,58418.06,10068.88,3304.31,446.51,105.46,0.15,Diamond,0.17,20.482945329768807
2025-01-30,CUST01402,44646.36,10929.09,10999.88,307.79,128.54,0.37,Regular,0.18,15.21085330795772
2025-01-31,CUST00881,67503.21,3669.52,2910.47,645.23,108.68,0.55,Diamond,0.05,18.138446456401265
2025-02-01,CUST02861,101747.71,15204.55,13514.6,632.2,101.46,0.12,Regular,0.3,27.97818704608536
2025-02-02,CUST01337,120736.12,27758.33,13506.83,266.18,124.56,0.25,Platinum,0.11,30.7686729808413
2025-02-03,CUST01998,71137.01,9703.73,6224.28,434.5,94.78,0.65,Platinum,-0.13,14.10096260319919
2025-02-04,CUST01025,53558.13,30168.69,8437.55,429.99,110.56,0.53,Diamond,0.3,25.38205930557352
2025-02-05,CUST01856,77880.52,22167.03,7194.44,689.6,103.1,0.36,Platinum,0.17,21.91345653413118
2025-02-06,CUST02924,88511.3,12495.86,10215.88,488.17,108.31,-0.42,Regular,-0.05,19.193423602693027
2025-02-07,CUST02618,96460.24,15061.67,11372.38,326.39,123.82,0.45,Platinum,-0.05,21.642940024703883
2025-02-08,CUST01315,127864.2,14229.89,8218.88,601.86,103.1,-0.03,Diamond,0.09,22.394231009601505
2025-02-09,CUST02545,89378.6,23662.46,8873.72,357.1,111.21,0.94,Diamond,0.12,25.325668254965976
2025-02-10,CUST02871,118197.78,17570.6,5493.68,469.52,104.94,0.3,Diamond,0.07,20.559385158338838
