date,unexpected_risk_cost,lag_1,lag_2,rolling_mean,rolling_std,trend
2025-03-31,4504.099999999999,8895.01,23984.25,12461.12,10217.970268340969,-15089.24
2025-04-30,12119.35,4504.099999999999,8895.01,8506.153333333334,3822.488099528023,-4390.910000000001
2025-05-31,2448.090000000003,12119.35,4504.099999999999,6357.18,5094.972680172095,7615.250000000001
2025-06-30,-17645.43,2448.090000000003,12119.35,-1025.996666666666,15183.461092179654,-9671.259999999998
2025-07-31,18054.73,-17645.43,2448.090000000003,952.4633333333344,17897.011771548157,-20093.520000000004
2025-08-31,40961.1,18054.73,-17645.43,13790.133333333333,29535.088085313597,35700.16
2025-09-30,-1247.3300000000004,40961.1,18054.73,19256.166666666668,21129.848042857127,22906.37
2025-10-31,10949.260000000002,-1247.3300000000004,40961.1,16887.67666666667,21721.797465827574,-42208.43
2025-11-30,13954.99,10949.260000000002,-1247.3300000000004,7885.64,8050.898022823298,12196.590000000002
2025-12-31,3703.5300000000007,13954.99,10949.260000000002,9535.926666666668,5269.842632017902,3005.7299999999977
2026-01-31,37409.17916387615,3703.5300000000007,13954.99,18355.89972129205,17278.41720675821,-10251.46
2026-02-28,19781.067408380517,37409.17916387615,3703.5300000000007,20297.925524085556,16858.767841197758,33705.64916387615
2026-03-31,37643.440103619294,19781.067408380517,37409.17916387615,31611.228891958654,10245.889912185452,-17628.111755495633
2026-04-30,46783.717204966524,37643.440103619294,19781.067408380517,34736.07490565544,13734.094557160095,17862.372695238777
2026-05-31,37051.63602962155,46783.717204966524,37643.440103619294,40492.93111273579,5456.010470953301,9140.27710134723
2026-06-30,27382.812953003944,37051.63602962155,46783.717204966524,37072.72206253067,9700.469314112705,-9732.081175344974
2026-07-31,35233.84274455991,27382.812953003944,37051.63602962155,33222.763909061796,5138.566286784103,-9668.823076617606
2026-08-31,29544.780948796782,35233.84274455991,27382.812953003944,30720.478882120213,4055.411991375259,7851.029791555964
2026-09-30,41164.944685615315,29544.780948796782,35233.84274455991,35314.52279299067,5810.501980920295,-5689.061795763126
2026-10-31,53556.68596365406,41164.944685615315,29544.780948796782,41422.137199355384,12008.018429469294,11620.163736818533
2026-11-30,52503.93308252702,53556.68596365406,41164.944685615315,49075.1879105988,6870.66467424929,12391.741278038746
2026-12-31,46766.729968173306,52503.93308252702,53556.68596365406,50942.44967145147,3654.3875598297273,-1052.7528811270386
2027-01-31,31312.152583191993,46766.729968173306,52503.93308252702,43527.605211297436,10960.923185386931,-5737.203114353717
2027-02-28,43609.38074954156,31312.152583191993,46766.729968173306,40562.75443363562,8165.319312107217,-15454.577384981312
2027-03-31,44223.898968920395,43609.38074954156,31312.152583191993,39715.14410055132,7283.687801594457,12297.228166349567
2027-04-30,48385.37854099534,44223.898968920395,43609.38074954156,45406.2194198191,2598.2590252805576,614.518219378835
2027-05-31,32590.964832440837,48385.37854099534,44223.898968920395,41733.41411411886,8186.437699527165,4161.479572074946
2027-06-30,42189.73371441059,32590.964832440837,48385.37854099534,41055.359029282256,7958.076434914266,-15794.413708554504
2027-07-31,55045.83006754311,42189.73371441059,32590.964832440837,43275.50953813151,11266.739769613165,9598.768881969754
2027-08-31,40003.80520232979,55045.83006754311,42189.73371441059,45746.45632809449,8127.320273278324,12856.096353132518
2027-09-30,39108.05093935617,40003.80520232979,55045.83006754311,44719.22873640969,8954.307076152392,-15042.024865213316
2027-10-31,44655.71274628701,39108.05093935617,40003.80520232979,41255.85629599099,2978.2313269577667,-895.7542629736199
2027-11-30,46414.203058553576,44655.71274628701,39108.05093935617,43392.65558139892,3813.3252875336602,5547.661806930839
2027-12-31,48529.03498301036,46414.203058553576,44655.71274628701,46532.98359595032,1939.3911156394397,1758.4903122665637
2028-01-31,42808.93874580305,48529.03498301036,46414.203058553576,45917.39226245566,2892.2294110369285,2114.831924456783
2028-02-29,49034.46471059034,42808.93874580305,48529.03498301036,46790.81281313458,3457.651749156506,-5720.096237207312
2028-03-31,59155.760226333325,49034.46471059034,42808.93874580305,50333.05456090891,8250.417857817469,6225.525964787295
2028-04-30,43280.707761210375,59155.760226333325,49034.46471059034,50490.31089937801,8037.035447642142,10121.295515742982
2028-05-31,41648.27975352358,43280.707761210375,59155.760226333325,48028.24924702243,9671.211441493906,-15875.05246512295
2028-06-30,30485.08218642637,41648.27975352358,43280.707761210375,38471.356567053444,6964.3118225754815,-1632.4280076867944
2028-07-31,59301.30122967709,30485.08218642637,41648.27975352358,43811.55438987568,14529.399087758717,-11163.19756709721
2028-08-31,50153.74713583244,59301.30122967709,30485.08218642637,46646.710183978634,14724.744518102903,28816.21904325072
2028-09-30,26170.368731854636,50153.74713583244,59301.30122967709,45208.47236578806,17110.12796437374,-9147.55409384465
2028-10-31,67763.83959843223,26170.368731854636,50153.74713583244,48029.31848870643,20877.957335183823,-23983.378403977804
2028-11-30,23381.701399640115,67763.83959843223,26170.368731854636,39105.30324330899,24858.156526296945,41593.47086657759
2028-12-31,46688.77739710052,23381.701399640115,67763.83959843223,45944.77279839095,22200.421277677262,-44382.13819879211
