date,delivery_time,lag_1,lag_2,rolling_mean,rolling_std,trend
2025-03-31,1433.6157725202913,1292.173646767538,1425.484268281417,1383.7578958564154,79.41842576617135,-133.3106215138789
2025-04-30,1362.31619296913,1433.6157725202913,1292.173646767538,1362.7018707523198,70.72185160810456,141.44212575275333
2025-05-31,1377.6785963845603,1362.31619296913,1433.6157725202913,1391.2035206246608,37.524661128628935,-71.29957955116129
2025-06-30,1367.5827177742854,1377.6785963845603,1362.31619296913,1369.192502375992,7.806690369325752,15.362403415430208
2025-07-31,1401.3920892251722,1367.5827177742854,1377.6785963845603,1382.217801128006,17.355739230963383,-10.095878610274895
2025-08-31,1359.1711349618845,1401.3920892251722,1367.5827177742854,1376.0486473204473,22.34739843999952,33.80937145088683
2025-09-30,1309.7001643531241,1359.1711349618845,1401.3920892251722,1356.754462846727,45.893708716658125,-42.220954263287695
2025-10-31,1389.9891425770252,1309.7001643531241,1359.1711349618845,1352.9534806306779,40.504005050072465,-49.470970608760354
2025-11-30,1369.6358760494652,1389.9891425770252,1309.7001643531241,1356.4417276598715,41.73900058523779,80.28897822390104
2025-12-31,1438.4501108693205,1369.6358760494652,1389.9891425770252,1399.3583764986035,35.350907154816866,-20.35326652755998
2026-01-31,1365.9028260470943,1438.4501108693205,1369.6358760494652,1391.32960432196,40.85022054456905,68.8142348198553
2026-02-28,1288.2151043847723,1365.9028260470943,1438.4501108693205,1364.1893471003957,75.1321588996926,-72.54728482222617
2026-03-31,1404.189210719171,1288.2151043847723,1365.9028260470943,1352.7690470503458,59.092050633458214,-77.68772166232202
2026-04-30,1350.7115758624323,1404.189210719171,1288.2151043847723,1347.7052969887918,58.04547027559681,115.97410633439858
2026-05-31,1364.9977815734444,1350.7115758624323,1404.189210719171,1373.2995227183492,27.68850911471086,-53.47763485673863
2026-06-30,1453.7531453090803,1364.9977815734444,1350.7115758624323,1389.8208342483192,55.82588303450105,14.286205711012144
2026-07-31,1363.8739398481164,1453.7531453090803,1364.9977815734444,1394.2082889102137,51.570419793978054,88.75536373563591
2026-08-31,1378.441452972992,1363.8739398481164,1453.7531453090803,1398.6895127100627,48.23956711985012,-89.87920546096393
2026-09-30,1352.3346653483704,1378.441452972992,1363.8739398481164,1364.8833527231595,13.082632601411419,14.567513124875632
2026-10-31,1441.415450590964,1352.3346653483704,1378.441452972992,1390.7305229707754,45.794240968893476,-26.106787624621575
2026-11-30,1354.8394930468635,1441.415450590964,1352.3346653483704,1382.8632029953994,50.723197989864744,89.08078524259349
2026-12-31,1372.2587247706097,1354.8394930468635,1441.415450590964,1389.5045561361458,45.79206405902503,-86.57595754410045
2027-01-31,1408.8054871343272,1372.2587247706097,1354.8394930468635,1378.634568317267,27.542161592014402,17.41923172374618
2027-02-28,1292.2716094699645,1408.8054871343272,1372.2587247706097,1357.778607124967,59.6011033131679,36.54676236371756
2027-03-31,1379.9463423950392,1292.2716094699645,1408.8054871343272,1360.3411463331104,60.690270598697964,-116.53387766436276
2027-04-30,1338.2581484707634,1379.9463423950392,1292.2716094699645,1336.8253667785891,43.85492385016628,87.67473292507475
2027-05-31,1432.690531746723,1338.2581484707634,1379.9463423950392,1383.6316742041752,47.32393692099192,-41.688193924275765
2027-06-30,1378.487866059638,1432.690531746723,1338.2581484707634,1383.1455154257083,47.388173904544885,94.43238327595964
2027-07-31,1405.166808308687,1378.487866059638,1432.690531746723,1405.4484020383495,27.10243002330127,-54.20266568708507
2027-08-31,1349.0010789664047,1405.166808308687,1378.487866059638,1377.5519177782433,28.094559749650905,26.678942249048987
2027-09-30,1350.4844678444347,1349.0010789664047,1405.166808308687,1368.2174517065089,32.00767604227218,-56.16572934228225
2027-10-31,1368.7997268103961,1350.4844678444347,1349.0010789664047,1356.0950912070787,11.027508104764571,1.4833888780299276
2027-11-30,1331.7774713239828,1368.7997268103961,1350.4844678444347,1350.3538886596045,18.511473159041365,18.315258965961448
2027-12-31,1382.3774300415566,1331.7774713239828,1368.7997268103961,1360.984876058645,26.189556597222523,-37.022255486413314
2028-01-31,1394.3745258980896,1382.3774300415566,1331.7774713239828,1369.5098090878764,33.22317808539845,50.59995871757383
2028-02-29,1279.6196046189655,1394.3745258980896,1382.3774300415566,1352.1238535195373,63.07639937983712,11.997095856532951
2028-03-31,1447.5709453112656,1279.6196046189655,1394.3745258980896,1373.855025276107,85.83531114533758,-114.75492127912412
2028-04-30,1333.723904154259,1447.5709453112656,1279.6196046189655,1353.6381513614967,85.72832753214345,167.95134069230016
2028-05-31,1373.66024790958,1333.723904154259,1447.5709453112656,1384.9850324583683,57.76223034006434,-113.84704115700674
2028-06-30,1364.0844497373012,1373.66024790958,1333.723904154259,1357.1562006003799,20.850140652120416,39.936343755321104
2028-07-31,1402.3247392502813,1364.0844497373012,1373.66024790958,1380.0231456323872,19.898361391891463,-9.575798172278837
2028-08-31,1378.7700585819216,1402.3247392502813,1364.0844497373012,1381.7264158565013,19.29080018455321,38.2402895129801
2028-09-30,1363.3564614024303,1378.7700585819216,1402.3247392502813,1381.4837530782108,19.62536045455528,-23.55468066835965
2028-10-31,1361.2154771093774,1363.3564614024303,1378.7700585819216,1367.7806656979099,9.57710918832648,-15.413597179491262
2028-11-30,1344.4894787382798,1361.2154771093774,1363.3564614024303,1356.353805750029,10.330423273855947,-2.140984293052952
2028-12-31,1318.8496999102808,1344.4894787382798,1361.2154771093774,1341.5182185859794,21.338604911996686,-16.725998371097603
