date,uptime_rate,lag_1,lag_2,rolling_mean,rolling_std,trend
2025-03-31,3074.1382450390192,2773.2648679272793,3068.2946996962764,2971.899270887525,172.04725015260522,-295.02983176899716
2025-04-30,2969.992926153948,3074.1382450390192,2773.2648679272793,2939.132013040082,152.79232386583422,300.87337711173996
2025-05-31,3068.4300799799453,2969.992926153948,3074.1382450390192,3037.5204170576376,58.550126454998946,-104.14531888507145
2025-06-30,2978.2384516806173,3068.4300799799453,2969.992926153948,3005.5538192715035,54.60828960249267,98.43715382599748
2025-07-31,3071.0175740509776,2978.2384516806173,3068.4300799799453,3039.2287019038467,52.834948169853035,-90.19162829932793
2025-08-31,3064.994579440308,3071.0175740509776,2978.2384516806173,3038.083535057301,51.91478228107813,92.77912237036026
2025-09-30,2965.8709139074012,3064.994579440308,3071.0175740509776,3033.9610224662288,59.044612613555124,-6.022994610669684
2025-10-31,3071.4552295227327,2965.8709139074012,3064.994579440308,3034.1069076234803,59.182329530760754,-99.12366553290667
2025-11-30,2970.533667856276,3071.4552295227327,2965.8709139074012,3002.6199370954696,59.6586827817798,105.58431561533143
2025-12-31,3070.2179945113558,2970.533667856276,3071.4552295227327,3037.402297296788,57.9132358797002,-100.92156166645645
2026-01-31,3068.3012886962547,3070.2179945113558,2970.533667856276,3036.350983687962,57.007523518930384,99.68432665507953
2026-02-28,2773.726059890917,3068.3012886962547,3070.2179945113558,2970.7484476995087,170.6290843134456,-1.9167058151010679
2026-03-31,3072.4481210000686,2773.726059890917,3068.3012886962547,2971.4918231957467,171.28272506646869,-294.5752288053377
2026-04-30,2969.3965358269825,3072.4481210000686,2773.726059890917,2938.5235722393227,151.73520474444518,298.7220611091516
2026-05-31,3071.4099450205244,2969.3965358269825,3072.4481210000686,3037.7515339491915,59.19944069462656,-103.0515851730861
2026-06-30,2971.102510311605,3071.4099450205244,2969.3965358269825,3003.9696637197035,58.41122532258638,102.01340919354197
2026-07-31,3069.0429612473527,2971.102510311605,3071.4099450205244,3037.1851388598275,57.24147097976632,-100.30743470891957
2026-08-31,3070.1653422121426,3069.0429612473527,2971.102510311605,3036.770271257033,56.872718024084676,97.94045093574778
2026-09-30,2967.4433283023923,3070.1653422121426,3069.0429612473527,3035.5505439206295,58.98524857292165,1.1223809647899543
2026-10-31,3070.838035672307,2967.4433283023923,3070.1653422121426,3036.1489020622807,59.50172290261431,-102.72201390975033
2026-11-30,2971.407447804841,3070.838035672307,2967.4433283023923,3003.2296039265134,58.584158210234065,103.39470736991461
2026-12-31,3071.135307759461,2971.407447804841,3070.838035672307,3037.79359707887,57.49228386704355,-99.43058786746587
2027-01-31,3066.843668272711,3071.135307759461,2971.407447804841,3036.4621412790043,56.379866970702636,99.72785995461982
2027-02-28,2768.9119292240966,3066.843668272711,3071.135307759461,2968.963635085423,173.26314757007933,-4.291639486749773
2027-03-31,3066.5614666289466,2768.9119292240966,3066.843668272711,2967.4390213752517,171.92956304236003,-297.9317390486144
2027-04-30,2972.079451775722,3066.5614666289466,2768.9119292240966,2935.8509492095886,152.09598968404353,297.64953740485
2027-05-31,3065.7301316444828,2972.079451775722,3066.5614666289466,3034.7903500163843,54.3108216479654,-94.48201485322443
2027-06-30,2967.8631188036998,3065.7301316444828,2972.079451775722,3001.8909007413017,55.326575148522444,93.65067986876056
2027-07-31,3070.5037080431216,2967.8631188036998,3065.7301316444828,3034.698986163768,57.930748590346504,-97.86701284078299
2027-08-31,3067.0813170512565,3070.5037080431216,2967.8631188036998,3035.149381299359,58.29673258855454,102.64058923942184
2027-09-30,2967.6752902878766,3067.0813170512565,3070.5037080431216,3035.086771794085,58.40512879167153,-3.422390991865086
2027-10-31,3067.9869567063397,2967.6752902878766,3067.0813170512565,3034.2478546818243,57.65531019156848,-99.40602676337994
2027-11-30,2970.9087585399798,3067.9869567063397,2967.6752902878766,3002.190335178065,57.00447686485427,100.31166641846312
2027-12-31,3070.3515250767396,2970.9087585399798,3067.9869567063397,3036.4157467743535,56.74303416762567,-97.07819816635993
2028-01-31,3069.095493231204,3070.3515250767396,2970.9087585399798,3036.785258949308,57.05417937044063,99.44276653675979
2028-02-29,2870.8520427443013,3069.095493231204,3070.3515250767396,3003.4330203507484,114.82021216367033,-1.2560318455357447
2028-03-31,3069.1397768119164,2870.8520427443013,3069.095493231204,3003.029104262474,114.4686952137705,-198.24345048690247
2028-04-30,2970.6860626111047,3069.1397768119164,2870.8520427443013,2970.225960722441,99.14466773724395,198.28773406761502
2028-05-31,3065.9776845051456,2970.6860626111047,3069.1397768119164,3035.267841309389,55.95180347240629,-98.45371420081165
2028-06-30,2970.641577987089,3065.9776845051456,2970.6860626111047,3002.4351083677793,55.02948965191563,95.29162189404087
2028-07-31,3068.791433155903,2970.641577987089,3065.9776845051456,3035.136898549379,55.87230151149907,-95.33610651805657
2028-08-31,3066.742833080551,3068.791433155903,2970.641577987089,3035.391948074514,56.08481978584865,98.14985516881416
2028-09-30,2969.497190912718,3066.742833080551,3068.791433155903,3035.010485716391,56.74542305412746,-2.0486000753521694
2028-10-31,3067.482618896579,2969.497190912718,3066.742833080551,3034.574214296616,56.35956928636625,-97.24564216783301
2028-11-30,2969.9672232077833,3067.482618896579,2969.497190912718,3002.3156776723604,56.43671592128921,97.98542798386097
2028-12-31,2969.189346701579,2969.9672232077833,3067.482618896579,3002.2130629353137,56.52643164485428,-97.5153956887957
