date,delivery_cost,lag_1,lag_2,rolling_mean,rolling_std,trend
2025-03-31,246042.7456469522,217386.63197043652,244935.88049935253,236121.7527055804,16234.526458571452,-27549.24852891601
2025-04-30,243811.0593871256,246042.7456469522,217386.63197043652,235746.8123348381,15939.487857224038,28656.11367651567
2025-05-31,254968.8347103993,243811.0593871256,246042.7456469522,248274.21324815904,5904.114944899856,-2231.686259826587
2025-06-30,235679.17140563103,254968.8347103993,243811.0593871256,244819.68850105198,9684.305711816667,11157.775323273701
2025-07-31,245660.07193090182,235679.17140563103,254968.8347103993,245436.02601564405,9646.783144237139,-19289.66330476827
2025-08-31,242467.71605055497,245660.07193090182,235679.17140563103,241268.9864623626,5097.284403782337,9980.900525270787
2025-09-30,245562.64987632123,242467.71605055497,245660.07193090182,244563.479285926,1815.6377442178384,-3192.3558803468477
2025-10-31,246392.14869077582,245562.64987632123,242467.71605055497,244807.5048725507,2068.326828488803,3094.9338257662603
2025-11-30,235154.09082125456,246392.14869077582,245562.64987632123,242369.6297961172,6262.5888491993355,829.4988144545932
2025-12-31,253265.14895711085,235154.09082125456,246392.14869077582,244937.12948971373,9142.779520292781,-11238.05786952126
2026-01-31,243890.6940829956,253265.14895711085,235154.09082125456,244103.31128712033,9057.400910675646,18111.058135856292
2026-02-28,223144.83318535378,243890.6940829956,253265.14895711085,240100.22540848676,15413.76317214305,-9374.454874115268
2026-03-31,250672.05605383942,223144.83318535378,243890.6940829956,239235.86110739628,14341.813073522613,-20745.860897641804
2026-04-30,242479.85194283776,250672.05605383942,223144.83318535378,238765.5803940103,14134.491839703354,27527.222868485638
2026-05-31,240161.20838917582,242479.85194283776,250672.05605383942,244437.70546195097,5522.1709914822395,-8192.204111001658
2026-06-30,245179.60077742793,240161.20838917582,242479.85194283776,242606.8870364805,2511.6068515749507,-2318.643553661939
2026-07-31,241543.9557821332,245179.60077742793,240161.20838917582,242294.921649579,2592.108763375312,5018.392388252105
2026-08-31,244558.41068307759,241543.9557821332,245179.60077742793,243760.65574754623,1944.6820654865928,-3635.644995294715
2026-09-30,233324.80403255782,244558.41068307759,241543.9557821332,239809.05683258956,5814.282876545944,3014.4549009443726
2026-10-31,241510.45803612506,233324.80403255782,244558.41068307759,239797.89091725348,5809.315295035175,-11233.606650519767
2026-11-30,238137.05381269733,241510.45803612506,233324.80403255782,237657.43862712674,4113.849281536786,8185.654003567237
2026-12-31,246227.48383326887,238137.05381269733,241510.45803612506,241958.33189403042,4063.7676759242404,-3373.4042234277294
2027-01-31,252946.00873977822,246227.48383326887,238137.05381269733,245770.18212858145,7415.0610344696515,8090.430020571541
2027-02-28,206782.38683763356,252946.00873977822,246227.48383326887,235318.62647022688,24940.376370585072,6718.524906509352
2027-03-31,248647.37311597136,206782.38683763356,252946.00873977822,236125.25623112769,25502.402930690798,-46163.62190214466
2027-04-30,238994.41859260103,248647.37311597136,206782.38683763356,231474.72618206867,21922.10298951987,41864.986278337805
2027-05-31,253934.96601775344,238994.41859260103,248647.37311597136,247192.25257544196,7575.818185609372,-9652.95452337034
2027-06-30,237514.17547538487,253934.96601775344,238994.41859260103,243481.18669524646,9083.441336534963,14940.547425152414
2027-07-31,249301.91591813095,237514.17547538487,253934.96601775344,246917.01913708975,8466.190997210633,-16420.790542368573
2027-08-31,241569.79101085398,249301.91591813095,237514.17547538487,242795.29413478993,5988.664259788661,11787.740442746086
2027-09-30,250914.17493696994,241569.79101085398,249301.91591813095,247261.960621985,4995.041636199705,-7732.1249072769715
2027-10-31,240750.18924892697,250914.17493696994,241569.79101085398,244411.38506558363,5646.47180508247,9344.38392611596
2027-11-30,242213.59985903834,240750.18924892697,250914.17493696994,244625.98801497844,5494.666844120315,-10163.985688042972
2027-12-31,255250.08389388825,242213.59985903834,240750.18924892697,246071.29100061787,7982.6732293517825,1463.410610111372
2028-01-31,241106.38828602948,255250.08389388825,242213.59985903834,246190.02401298538,7865.748098624212,13036.484034849913
2028-02-29,231074.88820397403,241106.38828602948,255250.08389388825,242477.12012796392,12145.748268356347,-14143.695607858768
2028-03-31,235084.50000407797,231074.88820397403,241106.38828602948,235755.2588313605,5049.275841875977,-10031.500082055456
2028-04-30,241749.89039932468,235084.50000407797,231074.88820397403,235969.7595357922,5392.279786560888,4009.611800103943
2028-05-31,255632.95798656708,241749.89039932468,235084.50000407797,244155.7827966566,10483.368735057664,6665.390395246708
2028-06-30,242635.1550926519,255632.95798656708,241749.89039932468,246672.6678261812,7772.452844054032,13883.067587242404
2028-07-31,248104.91349068223,242635.1550926519,255632.95798656708,248791.00885663377,6526.00683080032,-12997.802893915185
2028-08-31,256025.72767075393,248104.91349068223,242635.1550926519,248921.93208469602,6732.569942420024,5469.758398030332
2028-09-30,244723.6025076097,256025.72767075393,248104.91349068223,249618.0812230153,5801.014199299537,7920.8141800716985
2028-10-31,242356.74240200839,244723.6025076097,256025.72767075393,247702.02419345733,7305.035001513768,-11302.125163144228
2028-11-30,239522.0316338748,242356.74240200839,244723.6025076097,242200.7921811643,2604.289776917708,-2366.860105601314
2028-12-31,233661.00660957137,239522.0316338748,242356.74240200839,238513.2602151515,4434.768322516159,-2834.7107681335765
